Symbol,Close
MMM,168.72999572753906
AOS,67.06999969482422
ABT,125.27999877929688
ABBV,229.52499389648438
ACN,250.22000122070312
ADBE,344.0050048828125
AMD,258.3599853515625
AES,14.1850004196167
AFL,107.38500213623047
A,144.75999450683594
APD,248.1999969482422
ABNB,127.27999877929688
AKAM,74.7249984741211
ALB,98.2300033569336
ARE,57.22999954223633
ALGN,139.83999633789062
ALLE,166.67999267578125
LNT,68.19499969482422
ALL,192.61000061035156
GOOGL,287.7950134277344
GOOG,288.44000244140625
MO,57.119998931884766
AMZN,227.89999389648438
AMCR,7.925000190734863
AEE,102.91999816894531
AEP,122.08000183105469
AXP,365.44500732421875
AIG,78.88999938964844
AMT,181.50999450683594
AWK,129.7050018310547
AMP,458.43499755859375
AME,198.58999633789062
AMGN,294.1499938964844
APH,138.69000244140625
ADI,234.94000244140625
AON,330.635009765625
APA,22.80500030517578
APO,125.5
AAPL,270.94500732421875
AMAT,237.4600067138672
APP,631.97998046875
APTV,83.58999633789062
ACGL,86.83000183105469
ADM,61.125
ANET,161.35499572753906
AJG,265.510009765625
AIZ,212.77999877929688
T,24.854999542236328
ATO,173.66000366210938
ADSK,303.25
ADP,263.9599914550781
AZO,3748.68994140625
AVB,172.3800048828125
AVY,177.31500244140625
AXON,751.8499755859375
BKR,49.040000915527344
BALL,47.790000915527344
BAC,53.38999938964844
BAX,19.354999542236328
BDX,181.2899932861328
BRK.B,
BBY,84.05000305175781
TECH,61.849998474121094
BIIB,153.27000427246094
BLK,1102.9300537109375
BX,150.3249969482422
XYZ,75.22000122070312
BK,108.73999786376953
BA,203.9333038330078
BKNG,5240.0
BSX,101.6500015258789
BMY,44.540000915527344
AVGO,374.4700012207031
BR,222.02999877929688
BRO,81.43499755859375
BF.B,
BLDR,119.31999969482422
BG,96.12000274658203
BXP,70.6500015258789
CHRW,155.88499450683594
CDNS,336.5799865722656
CPT,98.9800033569336
CPB,30.360000610351562
COF,222.74000549316406
CAH,189.5500030517578
KMX,42.617401123046875
CCL,28.68000030517578
CARR,60.22999954223633
CAT,590.5499877929688
CBOE,236.6699981689453
CBRE,154.72250366210938
CDW,157.6300048828125
COR,343.7449951171875
CNC,36.654998779296875
CNP,39.21500015258789
CF,84.32499694824219
CRL,181.44000244140625
SCHW,95.44999694824219
CHTR,241.19000244140625
CVX,154.97999572753906
CMG,33.395301818847656
CB,279.614990234375
CHD,82.62999725341797
CI,255.31460571289062
CINF,154.0500030517578
CTAS,186.4550018310547
CSCO,72.25299835205078
C,101.27999877929688
CFG,51.40999984741211
CLX,113.51000213623047
CME,264.32000732421875
CMS,73.81999969482422
KO,69.26000213623047
CTSH,72.01000213623047
COIN,337.9200134277344
CL,76.44000244140625
CMCSA,27.383100509643555
CAG,17.360000610351562
COP,88.78500366210938
ED,98.6449966430664
STZ,130.43499755859375
CEG,392.7749938964844
COO,70.7300033569336
CPRT,42.744998931884766
GLW,91.13999938964844
CPAY,268.7550048828125
CTVA,61.70000076293945
CSGP,69.29499816894531
COST,915.7999877929688
CTRA,23.56999969482422
CRWD,547.0
CCI,93.66999816894531
CSX,35.67499923706055
CMI,447.92999267578125
CVS,77.16000366210938
DHR,216.11000061035156
DRI,180.77499389648438
DDOG,159.77499389648438
DVA,124.94999694824219
DAY,68.50499725341797
DECK,82.78500366210938
DE,477.1700134277344
DELL,162.66000366210938
DAL,58.66960144042969
DVN,32.345001220703125
DXCM,68.80000305175781
FANG,143.8699951171875
DLR,170.44000244140625
DG,99.78500366210938
DLTR,101.26000213623047
D,59.880001068115234
DPZ,405.1199951171875
DASH,258.79998779296875
DOV,184.07000732421875
DOW,24.2549991607666
DHI,150.74000549316406
DTE,139.9550018310547
DUK,125.23999786376953
DD,82.1500015258789
EMN,60.06999969482422
ETN,385.875
EBAY,84.43499755859375
ECL,261.25
EIX,55.3650016784668
EW,83.55999755859375
EA,200.24000549316406
ELV,330.3500061035156
EME,666.0
EMR,138.8574981689453
ETR,96.12999725341797
EOG,106.13999938964844
EPAM,160.88999938964844
EQT,52.38999938964844
EFX,213.50999450683594
EQIX,844.780029296875
EQR,59.53499984741211
ERIE,313.32000732421875
ESS,247.23500061035156
EL,96.44999694824219
EG,313.4800109863281
EVRG,77.68699645996094
ES,74.11000061035156
EXC,47.540000915527344
EXE,100.6500015258789
EXPE,223.78250122070312
EXPD,120.48999786376953
EXR,135.6699981689453
XOM,116.12000274658203
FFIV,259.20001220703125
FDS,269.8299865722656
FICO,1617.3349609375
FAST,41.400001525878906
FRT,95.91999816894531
FDX,251.5
FIS,62.630001068115234
FITB,42.6349983215332
FSLR,240.35000610351562
FE,46.349998474121094
FI,67.4000015258789
F,13.230600357055664
FTNT,85.32499694824219
FTV,52.720001220703125
FOXA,64.58999633789062
FOX,58.310001373291016
BEN,22.940000534057617
FCX,41.53499984741211
GRMN,218.83999633789062
IT,251.9199981689453
GE,313.5899963378906
GEHC,75.66000366210938
GEV,589.0499877929688
GEN,26.209999084472656
GNRC,172.09449768066406
GD,348.4700012207031
GIS,46.939998626708984
GM,69.3499984741211
GPC,130.99169921875
GILD,119.8499984741211
GPN,80.91000366210938
GL,133.9499969482422
GDDY,127.74500274658203
GS,806.1500244140625
HAL,27.604999542236328
HIG,123.9800033569336
HAS,77.7699966430664
HCA,473.05999755859375
DOC,17.875
HSIC,63.685001373291016
HSY,169.18499755859375
HPE,24.459999084472656
HLT,263.1300048828125
HOLX,73.9749984741211
HD,383.2903137207031
HON,204.32000732421875
HRL,21.51609992980957
HST,16.415000915527344
HWM,210.5
